time,filter,preprocess,model,epoch,test_volunteers,train_volunteers,auc,accuracy,precision,sensitivity,specificity,f1,group,sample,misinformation,missing_group,misinformation_group
2022-10-29 18:23:50,butterworth0.1,pca_stft,resnet50,50,"[20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2]",0.98099,0.97401,0.70456,0.84967,0.98073,0.77034,216,31356,503,7,54
2022-10-29 20:28:36,butterworth0.1,pca_stft,resnet50,50,"[11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2]","[20, 9]",0.98695,0.97848,0.78187,0.79866,0.98809,0.79017,216,31331,308,2,44
2022-10-29 22:34:44,butterworth0.1,pca_stft,resnet50,50,"[7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9]","[11, 18]",0.98471,0.96493,0.60417,0.8953,0.96865,0.72147,216,31301,890,2,89
2022-10-30 00:51:40,butterworth0.1,pca_stft,resnet50,50,"[5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18]","[7, 14]",0.98814,0.96306,0.58473,0.9362,0.96449,0.71986,216,31320,982,0,89
2022-10-30 02:52:48,butterworth0.1,pca_stft,resnet50,50,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14]","[5, 3]",0.97788,0.97838,0.89515,0.66645,0.99567,0.76405,216,31351,92,9,37
2022-10-30 04:55:41,butterworth0.1,pca_stft,resnet50,50,"[10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15]",0.9736,0.97368,0.88613,0.56279,0.99606,0.68838,216,31351,117,21,46
2022-10-30 07:01:46,butterworth0.1,pca_stft,resnet50,50,"[17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15]","[10, 8]",0.98688,0.98055,0.80565,0.80946,0.98963,0.80755,216,31349,274,4,41
2022-10-30 09:03:50,butterworth0.1,pca_stft,resnet50,50,"[4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8]","[17, 12]",0.98749,0.98059,0.79487,0.83221,0.98852,0.81311,216,31298,260,4,43
2022-10-30 11:08:02,butterworth0.1,pca_stft,resnet50,50,"[16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12]","[4, 1]",0.98682,0.9837,0.88576,0.78553,0.99448,0.83264,216,31309,130,7,45
2022-10-30 13:23:29,butterworth0.1,pca_stft,resnet50,50,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1]","[16, 13]",0.99371,0.98281,0.80233,0.87718,0.98845,0.83809,216,31333,285,1,48
2022-10-30 20:37:35,butterworth0.2,pca_stft,resnet50,50,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",0.99864,0.99145,0.87593,0.97291,0.99246,0.92188,120,17415,111,0,31
2022-10-31 01:06:55,butterworth0.2,pca_stft,resnet50,50,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99899,0.99546,0.94517,0.9659,0.99703,0.95542,120,17396,34,3,12
2022-10-31 03:32:33,butterworth0.3,pca_stft,resnet50,50,"[20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2]",0.98441,0.97322,0.6894,0.8702,0.9788,0.76932,216,31356,612,4,60
2022-10-31 04:33:17,butterworth0.3,pca_stft,resnet50,50,"[11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2]","[20, 9]",0.99267,0.9811,0.759,0.91946,0.9844,0.83156,216,31331,416,1,34
2022-10-31 05:33:12,butterworth0.3,pca_stft,resnet50,50,"[7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9]","[11, 18]",0.98625,0.92969,0.41811,0.98523,0.92672,0.58708,216,31301,2014,1,128
